,document names,Environmental,Social,Governance
BMY,BMY_2000_10-K.txt,2.8842364424796307,6.52723860086361,5.0664663654355495
GILD,GILD_2000_10-K.txt; GILD_2000_Annual Report.txt,7.754026685798539,8.491392684141498,13.977154450839704
GSK,GSK-annual-report-2000.txt,19.817052612145332,26.53360909707383,17.518829183425336
JNJ,JNJ_2000_10-K.txt,1.5701995877982124,2.2941947160725698,10.076408383763612
MRK,MRK_2000_10-K_Schering.txt,10.764566923242452,8.688086846447352,6.946265189522411
ROG,ROG-annual-report-2000.txt,13.732093577263207,11.940426425986931,8.937980665789267
