,document names,Environmental,Social,Governance
BMY,BMY_2000_10-K.txt,236.50738828332973,985.6130287304052,1388.2117841293405
GILD,GILD_2000_10-K.txt; GILD_2000_Annual Report.txt,635.8301882354803,1282.2002953053664,3829.740319530079
GSK,GSK-annual-report-2000.txt,1624.9983141959174,4006.5749736581483,4800.159196258542
JNJ,JNJ_2000_10-K.txt,128.75636619945342,346.423402126958,2760.9358971512297
MRK,MRK_2000_10-K_Schering.txt,882.694487705881,1311.90111381355,1903.2766619291406
ROG,ROG-annual-report-2000.txt,1126.031673335583,1803.0043903240266,2449.006702426259
