,document names,Environmental,Social,Governance
BMY,BMY_2000_10-K.txt,2.909669972356104,6.571465359100081,5.29411458035423
GILD,GILD_2000_10-K.txt; GILD_2000_Annual Report.txt,7.463190182250437,7.611125532273265,12.588296878085387
GSK,GSK-annual-report-2000.txt,20.019693268891913,26.63600078900791,18.19244122928434
JNJ,JNJ_2000_10-K.txt,1.5701995877982124,2.32271651989482,10.26622298897072
MRK,MRK_2000_10-K_Schering.txt,10.8617374967035,8.769758252488941,7.049201159906898
ROG,ROG-annual-report-2000.txt,13.839100038208086,12.08223369430867,9.05223932003623
