,document names,Environmental,Social,Governance
BMY,BMY_2000_10-K.txt,238.59293773320056,992.2912692241123,1450.587395017059
GILD,GILD_2000_10-K.txt; GILD_2000_Annual Report.txt,611.9815949445358,1149.279955373263,3449.193344595396
GSK,GSK-annual-report-2000.txt,1641.614848049137,4022.0361191401944,4984.72889682391
JNJ,JNJ_2000_10-K.txt,128.75636619945342,350.7301945041178,2812.945098977977
MRK,MRK_2000_10-K_Schering.txt,890.662474729687,1324.2334961258302,1931.48111781449
ROG,ROG-annual-report-2000.txt,1134.806203133063,1824.417287840609,2480.313573689927
